,tags,words
213,-,-
214,-,-
215,-,-
216,*,Como
217,*,hago
218,*,para
219,acc,recibir
220,tpc,dinero
221,-,-
222,-,-
223,-,-
224,-,-
225,-,-
226,-,-
227,*,Como
228,*,hago
229,*,para
230,acc,obtener
231,acc,exitosamente
232,tpc,dinero
233,-,-
234,-,-
235,-,-
236,-,-
237,-,-
238,-,-
239,*,Como
240,*,hago
241,*,para
242,acc,cancelar
243,tpc,dinero
244,-,-
245,-,-
246,-,-
247,-,-
248,-,-
249,-,-
250,*,Como
251,*,hago
252,*,para
253,acc,pagar
254,tpc,dinero
255,-,-
256,-,-
257,-,-
258,-,-
259,-,-
260,-,-
261,*,Como
262,*,hago
263,*,para
264,acc,enviar
265,tpc,dinero
266,tpc,sucio
267,-,-
268,-,-
269,-,-
270,-,-
271,-,-
272,-,-
273,*,Como
274,*,hago
275,*,para
276,acc,recibir
277,tpc,dinero
278,tpc,sucio
279,-,-
280,-,-
281,-,-
282,-,-
283,-,-
284,-,-
285,*,Como
286,*,hago
287,*,para
288,acc,obtener
289,acc,exitosamente
290,tpc,dinero
291,tpc,sucio
292,-,-
293,-,-
294,-,-
295,-,-
296,-,-
297,-,-
298,*,Como
299,*,hago
300,*,para
301,acc,cancelar
302,tpc,dinero
303,tpc,sucio
304,-,-
305,-,-
306,-,-
307,-,-
308,-,-
309,-,-
310,*,Como
311,*,hago
312,*,para
313,acc,pagar
314,tpc,dinero
315,tpc,sucio
316,-,-
317,-,-
318,-,-
319,-,-
320,-,-
321,-,-
322,*,Como
323,*,hago
324,*,para
325,acc,enviar
326,tpc,recibo
327,-,-
328,-,-
329,-,-
330,-,-
331,-,-
332,-,-
333,*,Como
334,*,hago
335,*,para
336,acc,recibir
337,tpc,recibo
338,-,-
339,-,-
340,-,-
341,-,-
342,-,-
343,-,-
344,*,Como
345,*,hago
346,*,para
347,acc,obtener
348,acc,exitosamente
349,tpc,recibo
350,-,-
351,-,-
352,-,-
353,-,-
354,-,-
355,-,-
356,*,Como
357,*,hago
358,*,para
359,acc,cancelar
360,tpc,recibo
361,-,-
362,-,-
363,-,-
364,-,-
365,-,-
366,-,-
367,*,Como
368,*,hago
369,*,para
370,acc,pagar
371,tpc,recibo
372,-,-
373,-,-
374,-,-
375,-,-
376,-,-
377,-,-
378,*,Como
379,*,hago
380,*,para
381,acc,enviar
382,tpc,deposito
383,-,-
384,-,-
385,-,-
386,-,-
387,-,-
388,-,-
389,*,Como
390,*,hago
391,*,para
392,acc,recibir
393,tpc,deposito
394,-,-
395,-,-
396,-,-
397,-,-
398,-,-
399,-,-
400,*,Como
401,*,hago
402,*,para
403,acc,obtener
404,acc,exitosamente
405,tpc,deposito
406,-,-
407,-,-
408,-,-
409,-,-
410,-,-
411,-,-
412,*,Como
413,*,hago
414,*,para
415,acc,cancelar
416,tpc,deposito
417,-,-
418,-,-
419,-,-
420,-,-
421,-,-
422,-,-
423,*,Como
424,*,hago
425,*,para
426,acc,pagar
427,tpc,deposito
428,-,-
429,-,-
430,-,-
431,-,-
432,-,-
433,-,-
434,*,Como
435,*,hago
436,*,para
437,acc,enviar
438,tpc,beneficiario
439,-,-
440,-,-
441,-,-
442,-,-
443,-,-
444,-,-
445,*,Como
446,*,hago
447,*,para
448,acc,recibir
449,tpc,beneficiario
450,-,-
451,-,-
452,-,-
453,-,-
454,-,-
455,-,-
456,*,Como
457,*,hago
458,*,para
459,acc,obtener
460,acc,exitosamente
461,tpc,beneficiario
462,-,-
463,-,-
464,-,-
465,-,-
466,-,-
467,-,-
468,*,Como
469,*,hago
470,*,para
471,acc,cancelar
472,tpc,beneficiario
473,-,-
474,-,-
475,-,-
476,-,-
477,-,-
478,-,-
479,*,Como
480,*,hago
481,*,para
482,acc,pagar
483,tpc,beneficiario
484,-,-
485,-,-
486,-,-
487,-,-
488,-,-
489,-,-
490,*,Como
491,*,hago
492,*,para
493,acc,enviar
494,tpc,cuenta
495,-,-
496,-,-
497,-,-
498,-,-
499,-,-
500,-,-
501,*,Como
502,*,hago
503,*,para
504,acc,recibir
505,tpc,cuenta
506,-,-
507,-,-
508,-,-
509,-,-
510,-,-
511,-,-
512,*,Como
513,*,hago
514,*,para
515,acc,obtener
516,acc,exitosamente
517,tpc,cuenta
518,-,-
519,-,-
520,-,-
521,-,-
522,-,-
523,-,-
524,*,Como
525,*,hago
526,*,para
527,acc,cancelar
528,tpc,cuenta
529,-,-
530,-,-
531,-,-
532,-,-
533,-,-
534,-,-
535,*,Como
536,*,hago
537,*,para
538,acc,pagar
539,tpc,cuenta
540,-,-
541,-,-
542,-,-
543,-,-
544,-,-
545,-,-
546,*,Como
547,*,hago
548,*,para
549,acc,enviar
550,tpc,cuenta
551,tpc,compartida
552,-,-
553,-,-
554,-,-
555,-,-
556,-,-
557,-,-
558,*,Como
559,*,hago
560,*,para
561,acc,recibir
562,tpc,cuenta
563,tpc,compartida
564,-,-
565,-,-
566,-,-
567,-,-
568,-,-
569,-,-
570,*,Como
571,*,hago
572,*,para
573,acc,obtener
574,acc,exitosamente
575,tpc,cuenta
576,tpc,compartida
577,-,-
578,-,-
579,-,-
580,-,-
581,-,-
582,-,-
583,*,Como
584,*,hago
585,*,para
586,acc,cancelar
587,tpc,cuenta
588,tpc,compartida
589,-,-
590,-,-
591,-,-
592,-,-
593,-,-
594,-,-
595,*,Como
596,*,hago
597,*,para
598,acc,pagar
599,tpc,cuenta
600,tpc,compartida
601,-,-
602,-,-
603,-,-
604,-,-
605,-,-
606,-,-
607,*,Como
608,*,hago
609,*,para
610,acc,enviar
611,uns,un
612,tpc,dinero
613,-,-
614,-,-
615,-,-
616,-,-
617,-,-
618,-,-
619,*,Como
620,*,hago
621,*,para
622,acc,enviar
623,uns,una
624,tpc,dinero
625,-,-
626,-,-
627,-,-
628,-,-
629,-,-
630,-,-
631,*,Como
632,*,hago
633,*,para
634,acc,enviar
635,uns,uno
636,tpc,dinero
637,-,-
638,-,-
639,-,-
640,-,-
641,-,-
642,-,-
643,*,Como
644,*,hago
645,*,para
646,acc,recibir
647,uns,un
648,tpc,dinero
649,-,-
650,-,-
651,-,-
652,-,-
653,-,-
654,-,-
655,*,Como
656,*,hago
657,*,para
658,acc,recibir
659,uns,una
660,tpc,dinero
661,-,-
662,-,-
663,-,-
664,-,-
665,-,-
666,-,-
667,*,Como
668,*,hago
669,*,para
670,acc,recibir
671,uns,uno
672,tpc,dinero
673,-,-
674,-,-
675,-,-
676,-,-
677,-,-
678,-,-
679,*,Como
680,*,hago
681,*,para
682,acc,obtener
683,acc,exitosamente
684,uns,un
685,tpc,dinero
686,-,-
687,-,-
688,-,-
689,-,-
690,-,-
691,-,-
692,*,Como
693,*,hago
694,*,para
695,acc,obtener
696,acc,exitosamente
697,uns,una
698,tpc,dinero
699,-,-
700,-,-
701,-,-
702,-,-
703,-,-
704,-,-
705,*,Como
706,*,hago
707,*,para
708,acc,obtener
709,acc,exitosamente
710,uns,uno
711,tpc,dinero
712,-,-
713,-,-
714,-,-
715,-,-
716,-,-
717,-,-
718,*,Como
719,*,hago
720,*,para
721,acc,cancelar
722,uns,un
723,tpc,dinero
724,-,-
725,-,-
726,-,-
727,-,-
728,-,-
729,-,-
730,*,Como
731,*,hago
732,*,para
733,acc,cancelar
734,uns,una
735,tpc,dinero
736,-,-
737,-,-
738,-,-
739,-,-
740,-,-
741,-,-
742,*,Como
743,*,hago
744,*,para
745,acc,cancelar
746,uns,uno
747,tpc,dinero
748,-,-
749,-,-
750,-,-
751,-,-
752,-,-
753,-,-
754,*,Como
755,*,hago
756,*,para
757,acc,pagar
758,uns,un
759,tpc,dinero
760,-,-
761,-,-
762,-,-
763,-,-
764,-,-
765,-,-
766,*,Como
767,*,hago
768,*,para
769,acc,pagar
770,uns,una
771,tpc,dinero
772,-,-
773,-,-
774,-,-
775,-,-
776,-,-
777,-,-
778,*,Como
779,*,hago
780,*,para
781,acc,pagar
782,uns,uno
783,tpc,dinero
784,-,-
785,-,-
786,-,-
787,-,-
788,-,-
789,-,-
790,*,Como
791,*,hago
792,*,para
793,acc,enviar
794,uns,un
795,tpc,dinero
796,tpc,sucio
797,-,-
798,-,-
799,-,-
800,-,-
801,-,-
802,-,-
803,*,Como
804,*,hago
805,*,para
806,acc,enviar
807,uns,una
808,tpc,dinero
809,tpc,sucio
810,-,-
811,-,-
812,-,-
813,-,-
814,-,-
815,-,-
816,*,Como
817,*,hago
818,*,para
819,acc,enviar
820,uns,uno
821,tpc,dinero
822,tpc,sucio
823,-,-
824,-,-
825,-,-
826,-,-
827,-,-
828,-,-
829,*,Como
830,*,hago
831,*,para
832,acc,recibir
833,uns,un
834,tpc,dinero
835,tpc,sucio
836,-,-
837,-,-
838,-,-
839,-,-
840,-,-
841,-,-
842,*,Como
843,*,hago
844,*,para
845,acc,recibir
846,uns,una
847,tpc,dinero
848,tpc,sucio
849,-,-
850,-,-
851,-,-
852,-,-
853,-,-
854,-,-
855,*,Como
856,*,hago
857,*,para
858,acc,recibir
859,uns,uno
860,tpc,dinero
861,tpc,sucio
862,-,-
863,-,-
864,-,-
865,-,-
866,-,-
867,-,-
868,*,Como
869,*,hago
870,*,para
871,acc,obtener
872,acc,exitosamente
873,uns,un
874,tpc,dinero
875,tpc,sucio
876,-,-
877,-,-
878,-,-
879,-,-
880,-,-
881,-,-
882,*,Como
883,*,hago
884,*,para
885,acc,obtener
886,acc,exitosamente
887,uns,una
888,tpc,dinero
889,tpc,sucio
890,-,-
891,-,-
892,-,-
893,-,-
894,-,-
895,-,-
896,*,Como
897,*,hago
898,*,para
899,acc,obtener
900,acc,exitosamente
901,uns,uno
902,tpc,dinero
903,tpc,sucio
904,-,-
905,-,-
906,-,-
907,-,-
908,-,-
909,-,-
910,*,Como
911,*,hago
912,*,para
913,acc,cancelar
914,uns,un
915,tpc,dinero
916,tpc,sucio
917,-,-
918,-,-
919,-,-
920,-,-
921,-,-
922,-,-
923,*,Como
924,*,hago
925,*,para
926,acc,cancelar
927,uns,una
928,tpc,dinero
929,tpc,sucio
930,-,-
931,-,-
932,-,-
933,-,-
934,-,-
935,-,-
936,*,Como
937,*,hago
938,*,para
939,acc,cancelar
940,uns,uno
941,tpc,dinero
942,tpc,sucio
943,-,-
944,-,-
945,-,-
946,-,-
947,-,-
948,-,-
949,*,Como
950,*,hago
951,*,para
952,acc,pagar
953,uns,un
954,tpc,dinero
955,tpc,sucio
956,-,-
957,-,-
958,-,-
959,-,-
960,-,-
961,-,-
962,*,Como
963,*,hago
964,*,para
965,acc,pagar
966,uns,una
967,tpc,dinero
968,tpc,sucio
969,-,-
970,-,-
971,-,-
972,-,-
973,-,-
974,-,-
975,*,Como
976,*,hago
977,*,para
978,acc,pagar
979,uns,uno
980,tpc,dinero
981,tpc,sucio
982,-,-
983,-,-
984,-,-
985,-,-
986,-,-
987,-,-
988,*,Como
989,*,hago
990,*,para
991,acc,enviar
992,uns,un
993,tpc,recibo
994,-,-
995,-,-
996,-,-
997,-,-
998,-,-
999,-,-
1000,*,Como
1001,*,hago
1002,*,para
1003,acc,enviar
1004,uns,una
1005,tpc,recibo
1006,-,-
1007,-,-
1008,-,-
1009,-,-
1010,-,-
1011,-,-
1012,*,Como
1013,*,hago
1014,*,para
1015,acc,enviar
1016,uns,uno
1017,tpc,recibo
1018,-,-
1019,-,-
1020,-,-
1021,-,-
1022,-,-
1023,-,-
1024,*,Como
1025,*,hago
1026,*,para
1027,acc,recibir
1028,uns,un
1029,tpc,recibo
1030,-,-
1031,-,-
1032,-,-
1033,-,-
1034,-,-
1035,-,-
1036,*,Como
1037,*,hago
1038,*,para
1039,acc,recibir
1040,uns,una
1041,tpc,recibo
1042,-,-
1043,-,-
1044,-,-
1045,-,-
1046,-,-
1047,-,-
1048,*,Como
1049,*,hago
1050,*,para
1051,acc,recibir
1052,uns,uno
1053,tpc,recibo
1054,-,-
1055,-,-
1056,-,-
1057,-,-
1058,-,-
1059,-,-
1060,*,Como
1061,*,hago
1062,*,para
1063,acc,obtener
1064,acc,exitosamente
1065,uns,un
1066,tpc,recibo
1067,-,-
1068,-,-
1069,-,-
1070,-,-
1071,-,-
1072,-,-
1073,*,Como
1074,*,hago
1075,*,para
1076,acc,obtener
1077,acc,exitosamente
1078,uns,una
1079,tpc,recibo
1080,-,-
1081,-,-
1082,-,-
1083,-,-
1084,-,-
1085,-,-
1086,*,Como
1087,*,hago
1088,*,para
1089,acc,obtener
1090,acc,exitosamente
1091,uns,uno
1092,tpc,recibo
1093,-,-
1094,-,-
1095,-,-
1096,-,-
1097,-,-
1098,-,-
1099,*,Como
1100,*,hago
1101,*,para
1102,acc,cancelar
1103,uns,un
1104,tpc,recibo
1105,-,-
1106,-,-
1107,-,-
1108,-,-
1109,-,-
1110,-,-
1111,*,Como
1112,*,hago
1113,*,para
1114,acc,cancelar
1115,uns,una
1116,tpc,recibo
1117,-,-
1118,-,-
1119,-,-
1120,-,-
1121,-,-
1122,-,-
1123,*,Como
1124,*,hago
1125,*,para
1126,acc,cancelar
1127,uns,uno
1128,tpc,recibo
1129,-,-
1130,-,-
1131,-,-
1132,-,-
1133,-,-
1134,-,-
1135,*,Como
1136,*,hago
1137,*,para
1138,acc,pagar
1139,uns,un
1140,tpc,recibo
1141,-,-
1142,-,-
1143,-,-
1144,-,-
1145,-,-
1146,-,-
1147,*,Como
1148,*,hago
1149,*,para
1150,acc,pagar
1151,uns,una
1152,tpc,recibo
1153,-,-
1154,-,-
1155,-,-
1156,-,-
1157,-,-
1158,-,-
1159,*,Como
1160,*,hago
1161,*,para
1162,acc,pagar
1163,uns,uno
1164,tpc,recibo
1165,-,-
1166,-,-
1167,-,-
1168,-,-
1169,-,-
1170,-,-
1171,*,Como
1172,*,hago
1173,*,para
1174,acc,enviar
1175,uns,un
1176,tpc,deposito
1177,-,-
1178,-,-
1179,-,-
1180,-,-
1181,-,-
1182,-,-
1183,*,Como
1184,*,hago
1185,*,para
1186,acc,enviar
1187,uns,una
1188,tpc,deposito
1189,-,-
1190,-,-
1191,-,-
1192,-,-
1193,-,-
1194,-,-
1195,*,Como
1196,*,hago
1197,*,para
1198,acc,enviar
1199,uns,uno
1200,tpc,deposito
1201,-,-
1202,-,-
1203,-,-
1204,-,-
1205,-,-
1206,-,-
1207,*,Como
1208,*,hago
1209,*,para
1210,acc,recibir
1211,uns,un
1212,tpc,deposito
1213,-,-
1214,-,-
1215,-,-
1216,-,-
1217,-,-
1218,-,-
1219,*,Como
1220,*,hago
1221,*,para
1222,acc,recibir
1223,uns,una
1224,tpc,deposito
1225,-,-
1226,-,-
1227,-,-
1228,-,-
1229,-,-
1230,-,-
1231,*,Como
1232,*,hago
1233,*,para
1234,acc,recibir
1235,uns,uno
1236,tpc,deposito
1237,-,-
1238,-,-
1239,-,-
1240,-,-
1241,-,-
1242,-,-
1243,*,Como
1244,*,hago
1245,*,para
1246,acc,obtener
1247,acc,exitosamente
1248,uns,un
1249,tpc,deposito
1250,-,-
1251,-,-
1252,-,-
1253,-,-
1254,-,-
1255,-,-
1256,*,Como
1257,*,hago
1258,*,para
1259,acc,obtener
1260,acc,exitosamente
1261,uns,una
1262,tpc,deposito
1263,-,-
1264,-,-
1265,-,-
1266,-,-
1267,-,-
1268,-,-
1269,*,Como
1270,*,hago
1271,*,para
1272,acc,obtener
1273,acc,exitosamente
1274,uns,uno
1275,tpc,deposito
1276,-,-
1277,-,-
1278,-,-
1279,-,-
1280,-,-
1281,-,-
1282,*,Como
1283,*,hago
1284,*,para
1285,acc,cancelar
1286,uns,un
1287,tpc,deposito
1288,-,-
1289,-,-
1290,-,-
1291,-,-
1292,-,-
1293,-,-
1294,*,Como
1295,*,hago
1296,*,para
1297,acc,cancelar
1298,uns,una
1299,tpc,deposito
1300,-,-
1301,-,-
1302,-,-
1303,-,-
1304,-,-
1305,-,-
1306,*,Como
1307,*,hago
1308,*,para
1309,acc,cancelar
1310,uns,uno
1311,tpc,deposito
1312,-,-
1313,-,-
1314,-,-
1315,-,-
1316,-,-
1317,-,-
1318,*,Como
1319,*,hago
1320,*,para
1321,acc,pagar
1322,uns,un
1323,tpc,deposito
1324,-,-
1325,-,-
1326,-,-
1327,-,-
1328,-,-
1329,-,-
1330,*,Como
1331,*,hago
1332,*,para
1333,acc,pagar
1334,uns,una
1335,tpc,deposito
1336,-,-
1337,-,-
1338,-,-
1339,-,-
1340,-,-
1341,-,-
1342,*,Como
1343,*,hago
1344,*,para
1345,acc,pagar
1346,uns,uno
1347,tpc,deposito
1348,-,-
1349,-,-
1350,-,-
1351,-,-
1352,-,-
1353,-,-
1354,*,Como
1355,*,hago
1356,*,para
1357,acc,enviar
1358,uns,un
1359,tpc,beneficiario
1360,-,-
1361,-,-
1362,-,-
1363,-,-
1364,-,-
1365,-,-
1366,*,Como
1367,*,hago
1368,*,para
1369,acc,enviar
1370,uns,una
1371,tpc,beneficiario
1372,-,-
1373,-,-
1374,-,-
1375,-,-
1376,-,-
1377,-,-
1378,*,Como
1379,*,hago
1380,*,para
1381,acc,enviar
1382,uns,uno
1383,tpc,beneficiario
1384,-,-
1385,-,-
1386,-,-
1387,-,-
1388,-,-
1389,-,-
1390,*,Como
1391,*,hago
1392,*,para
1393,acc,recibir
1394,uns,un
1395,tpc,beneficiario
1396,-,-
1397,-,-
1398,-,-
1399,-,-
1400,-,-
1401,-,-
1402,*,Como
1403,*,hago
1404,*,para
1405,acc,recibir
1406,uns,una
1407,tpc,beneficiario
1408,-,-
1409,-,-
1410,-,-
1411,-,-
1412,-,-
1413,-,-
1414,*,Como
1415,*,hago
1416,*,para
1417,acc,recibir
1418,uns,uno
1419,tpc,beneficiario
1420,-,-
1421,-,-
1422,-,-
1423,-,-
1424,-,-
1425,-,-
1426,*,Como
1427,*,hago
1428,*,para
1429,acc,obtener
1430,acc,exitosamente
1431,uns,un
1432,tpc,beneficiario
1433,-,-
1434,-,-
1435,-,-
1436,-,-
1437,-,-
1438,-,-
1439,*,Como
1440,*,hago
1441,*,para
1442,acc,obtener
1443,acc,exitosamente
1444,uns,una
1445,tpc,beneficiario
1446,-,-
1447,-,-
1448,-,-
1449,-,-
1450,-,-
1451,-,-
1452,*,Como
1453,*,hago
1454,*,para
1455,acc,obtener
1456,acc,exitosamente
1457,uns,uno
1458,tpc,beneficiario
1459,-,-
1460,-,-
1461,-,-
1462,-,-
1463,-,-
1464,-,-
1465,*,Como
1466,*,hago
1467,*,para
1468,acc,cancelar
1469,uns,un
1470,tpc,beneficiario
1471,-,-
1472,-,-
1473,-,-
1474,-,-
1475,-,-
1476,-,-
1477,*,Como
1478,*,hago
1479,*,para
1480,acc,cancelar
1481,uns,una
1482,tpc,beneficiario
1483,-,-
1484,-,-
1485,-,-
1486,-,-
1487,-,-
1488,-,-
1489,*,Como
1490,*,hago
1491,*,para
1492,acc,cancelar
1493,uns,uno
1494,tpc,beneficiario
1495,-,-
1496,-,-
1497,-,-
1498,-,-
1499,-,-
1500,-,-
1501,*,Como
1502,*,hago
1503,*,para
1504,acc,pagar
1505,uns,un
1506,tpc,beneficiario
1507,-,-
1508,-,-
1509,-,-
1510,-,-
1511,-,-
1512,-,-
1513,*,Como
1514,*,hago
1515,*,para
1516,acc,pagar
1517,uns,una
1518,tpc,beneficiario
1519,-,-
1520,-,-
1521,-,-
1522,-,-
1523,-,-
1524,-,-
1525,*,Como
1526,*,hago
1527,*,para
1528,acc,pagar
1529,uns,uno
1530,tpc,beneficiario
1531,-,-
1532,-,-
1533,-,-
1534,-,-
1535,-,-
1536,-,-
1537,*,Como
1538,*,hago
1539,*,para
1540,acc,enviar
1541,uns,un
1542,tpc,cuenta
1543,-,-
1544,-,-
1545,-,-
1546,-,-
1547,-,-
1548,-,-
1549,*,Como
1550,*,hago
1551,*,para
1552,acc,enviar
1553,uns,una
1554,tpc,cuenta
1555,-,-
1556,-,-
1557,-,-
1558,-,-
1559,-,-
1560,-,-
1561,*,Como
1562,*,hago
1563,*,para
1564,acc,enviar
1565,uns,uno
1566,tpc,cuenta
1567,-,-
1568,-,-
1569,-,-
1570,-,-
1571,-,-
1572,-,-
1573,*,Como
1574,*,hago
1575,*,para
1576,acc,recibir
1577,uns,un
1578,tpc,cuenta
1579,-,-
1580,-,-
1581,-,-
1582,-,-
1583,-,-
1584,-,-
1585,*,Como
1586,*,hago
1587,*,para
1588,acc,recibir
1589,uns,una
1590,tpc,cuenta
1591,-,-
1592,-,-
1593,-,-
1594,-,-
1595,-,-
1596,-,-
1597,*,Como
1598,*,hago
1599,*,para
1600,acc,recibir
1601,uns,uno
1602,tpc,cuenta
1603,-,-
1604,-,-
1605,-,-
1606,-,-
1607,-,-
1608,-,-
1609,*,Como
1610,*,hago
1611,*,para
1612,acc,obtener
1613,acc,exitosamente
1614,uns,un
1615,tpc,cuenta
1616,-,-
1617,-,-
1618,-,-
1619,-,-
1620,-,-
1621,-,-
1622,*,Como
1623,*,hago
1624,*,para
1625,acc,obtener
1626,acc,exitosamente
1627,uns,una
1628,tpc,cuenta
1629,-,-
1630,-,-
1631,-,-
1632,-,-
1633,-,-
1634,-,-
1635,*,Como
1636,*,hago
1637,*,para
1638,acc,obtener
1639,acc,exitosamente
1640,uns,uno
1641,tpc,cuenta
1642,-,-
1643,-,-
1644,-,-
1645,-,-
1646,-,-
1647,-,-
1648,*,Como
1649,*,hago
1650,*,para
1651,acc,cancelar
1652,uns,un
1653,tpc,cuenta
1654,-,-
1655,-,-
1656,-,-
1657,-,-
1658,-,-
1659,-,-
1660,*,Como
1661,*,hago
1662,*,para
1663,acc,cancelar
1664,uns,una
1665,tpc,cuenta
1666,-,-
1667,-,-
1668,-,-
1669,-,-
1670,-,-
1671,-,-
1672,*,Como
1673,*,hago
1674,*,para
1675,acc,cancelar
1676,uns,uno
1677,tpc,cuenta
1678,-,-
1679,-,-
1680,-,-
1681,-,-
1682,-,-
1683,-,-
1684,*,Como
1685,*,hago
1686,*,para
1687,acc,pagar
1688,uns,un
1689,tpc,cuenta
1690,-,-
1691,-,-
1692,-,-
1693,-,-
1694,-,-
1695,-,-
1696,*,Como
1697,*,hago
1698,*,para
1699,acc,pagar
1700,uns,una
1701,tpc,cuenta
1702,-,-
1703,-,-
1704,-,-
1705,-,-
1706,-,-
1707,-,-
1708,*,Como
1709,*,hago
1710,*,para
1711,acc,pagar
1712,uns,uno
1713,tpc,cuenta
1714,-,-
1715,-,-
1716,-,-
1717,-,-
1718,-,-
1719,-,-
1720,*,Como
1721,*,hago
1722,*,para
1723,acc,enviar
1724,uns,un
1725,tpc,cuenta
1726,tpc,compartida
1727,-,-
1728,-,-
1729,-,-
1730,-,-
1731,-,-
1732,-,-
1733,*,Como
1734,*,hago
1735,*,para
1736,acc,enviar
1737,uns,una
1738,tpc,cuenta
1739,tpc,compartida
1740,-,-
1741,-,-
1742,-,-
1743,-,-
1744,-,-
1745,-,-
1746,*,Como
1747,*,hago
1748,*,para
1749,acc,enviar
1750,uns,uno
1751,tpc,cuenta
1752,tpc,compartida
1753,-,-
1754,-,-
1755,-,-
1756,-,-
1757,-,-
1758,-,-
1759,*,Como
1760,*,hago
1761,*,para
1762,acc,recibir
1763,uns,un
1764,tpc,cuenta
1765,tpc,compartida
1766,-,-
1767,-,-
1768,-,-
1769,-,-
1770,-,-
1771,-,-
1772,*,Como
1773,*,hago
1774,*,para
1775,acc,recibir
1776,uns,una
1777,tpc,cuenta
1778,tpc,compartida
1779,-,-
1780,-,-
1781,-,-
1782,-,-
1783,-,-
1784,-,-
1785,*,Como
1786,*,hago
1787,*,para
1788,acc,recibir
1789,uns,uno
1790,tpc,cuenta
1791,tpc,compartida
1792,-,-
1793,-,-
1794,-,-
1795,-,-
1796,-,-
1797,-,-
1798,*,Como
1799,*,hago
1800,*,para
1801,acc,obtener
1802,acc,exitosamente
1803,uns,un
1804,tpc,cuenta
1805,tpc,compartida
1806,-,-
1807,-,-
1808,-,-
1809,-,-
1810,-,-
1811,-,-
1812,*,Como
1813,*,hago
1814,*,para
1815,acc,obtener
1816,acc,exitosamente
1817,uns,una
1818,tpc,cuenta
1819,tpc,compartida
1820,-,-
1821,-,-
1822,-,-
1823,-,-
1824,-,-
1825,-,-
1826,*,Como
1827,*,hago
1828,*,para
1829,acc,obtener
1830,acc,exitosamente
1831,uns,uno
1832,tpc,cuenta
1833,tpc,compartida
1834,-,-
1835,-,-
1836,-,-
1837,-,-
1838,-,-
1839,-,-
1840,*,Como
1841,*,hago
1842,*,para
1843,acc,cancelar
1844,uns,un
1845,tpc,cuenta
1846,tpc,compartida
1847,-,-
1848,-,-
1849,-,-
1850,-,-
1851,-,-
1852,-,-
1853,*,Como
1854,*,hago
1855,*,para
1856,acc,cancelar
1857,uns,una
1858,tpc,cuenta
1859,tpc,compartida
1860,-,-
1861,-,-
1862,-,-
1863,-,-
1864,-,-
1865,-,-
1866,*,Como
1867,*,hago
1868,*,para
1869,acc,cancelar
